NickName,Sex,Province,City,Signature
**nickName**,1,安徽,宣城,ΙΧΘΥΣ
**nickName**,1,上海,杨浦,
**nickName**,2,上海,浦东新区,
**nickName**,2,Fatima,,
**nickName**,1,江苏,南京,不叫我们遇见试探，救我们脱离凶恶
**nickName**,1,河南,郑州,诫命是灯，法则是光，训悔的责备是生命的道。
**nickName**,1,上海,浦东新区,风清则气正，气正则心齐，心齐则事成。
**nickName**,1,湖北,黄冈,
**nickName**,1,河南,郑州,未来的生活能否对得起曾经承受的苦难...
**nickName**,1,上海,浦东新区,
**nickName**,1,云南,昆明,敏于行而呐于言
**nickName**,2,上海,浦东新区,一粒麦子不落在地里死了，仍旧是一粒;若是死了，就结出许多子li
**nickName**,1,,,嗯
**nickName**,2,福建,泉州,自助查优惠券和购物奖励，若本号长时间未回复请+v信：TB9140339
**nickName**,1,上海,杨浦,敬畏耶和华是知识的开端 [箴1:7]
**nickName**,1,广东,深圳,
**nickName**,1,上海,浦东新区,你走 我不送你 你来 无论多大风多大雨 我都要去接你
**nickName**,1,湖南,湘潭,
**nickName**,1,上海,杨浦,少谈些情怀，多来点行动！少一些矫情，多一点真诚！
**nickName**,2,湖北,武汉,做自己～～自律
**nickName**,1,上海,浦东新区,信 望 爱
**nickName**,1,湖南,湘潭,“我没有什么可以奉献，有的只是热血、辛劳、眼泪和汗水。”
**nickName**,2,北京,海淀,认认真真做事，踏踏实实做人
**nickName**,1,上海,,我在乎的只是过程，而不是结果。谈笑风声，不怕被拒的自己。
**nickName**,1,湖南,郴州,
**nickName**,2,,,喜欢江德福～～么么哒
**nickName**,1,湖南,湘潭,
**nickName**,2,上海,,
**nickName**,2,云南,红河,"keep    a  thankful    attitude,no  matter   what    happens"
**nickName**,1,上海,杨浦,泰州医药高新技术产业园区管委会招商局18852657858
**nickName**,2,,,常常喜乐！Rejoice always!
**nickName**,1,上海,闵行,基督为我死，我为基督活
**nickName**,1,,,
**nickName**,1,上海,黄浦,现实的理想主义者
**nickName**,2,,,"夏虫可以语冰<span class=""emoji emoji1f60f""></span>"
**nickName**,1,上海,浦东新区,愛的真諦，聖誕節報名入口。
**nickName**,1,上海,浦东新区,
**nickName**,2,,,引人到主面前。
**nickName**,0,,,
**nickName**,1,上海,浦东新区,
**nickName**,1,北京,海淀,赵海斌
**nickName**,2,,,imagine your life without fear
**nickName**,2,上海,浦东新区,常常喜乐，不住祷告，凡事谢恩！
**nickName**,1,上海,浦东新区,
**nickName**,1,浙江,杭州,
**nickName**,1,湖南,长沙,
**nickName**,1,,,"良知之光越来越亮<span class=""emoji emoji2747""></span>🇮🇱<span class=""emoji emoji1f1e81f1f3""></span><span class=""emoji emoji2747""></span>"
**nickName**,2,山西,大同,                                 
**nickName**,2,甘肃,天水,你要保守你心，胜过一切！
**nickName**,0,,,
**nickName**,1,浙江,杭州,命里有时终须有，命里无时莫强求！
**nickName**,1,上海,浦东新区,光明路 一起走
**nickName**,2,湖北,黄冈,
**nickName**,0,,,
**nickName**,2,上海,浦东新区,忘记背后，努力面前的，向着标杆直跑。
**nickName**,2,,,
**nickName**,1,上海,浦东新区,做点实事！做点值得自己晚年回忆和别人铭记的好事！
**nickName**,0,上海,,
**nickName**,2,,,
**nickName**,2,河北,廊坊,哈哈
**nickName**,0,湖南,长沙,。。。。gwgxhrnc
**nickName**,1,,,坚持就会有成果( •̅_•̅ )，法律咨询请发红包ᙏ̤̫
**nickName**,2,,,
**nickName**,1,湖南,长沙,
**nickName**,1,Dubayy,,
**nickName**,1,湖南,长沙,
**nickName**,2,上海,,信，望，爱
**nickName**,2,,,神爱世人
**nickName**,1,上海,杨浦,智慧和健康创造财富！
**nickName**,0,,,god is love!
**nickName**,1,湖南,湘潭,
**nickName**,1,广东,深圳,
**nickName**,2,湖南,郴州,13342557911
**nickName**,2,上海,杨浦,
**nickName**,1,Victoria,Melbourne,"Happy Work, Happy Life"
**nickName**,2,,,思想是一条宽阔的河流，希望越来越宽
**nickName**,2,上海,虹口,愿神帮助我，让我每一天都能过圣洁的生活。
**nickName**,2,,,降服就是享福，顺服就是蒙福
**nickName**,2,北京,朝阳,我就是我
**nickName**,2,北京,朝阳,我就是我
**nickName**,1,上海,闵行,以马内利
**nickName**,2,上海,,新天新地，新耶路撒冷。上帝之爱永不止息。
**nickName**,1,,,因信称义！
**nickName**,1,上海,杨浦,做好一件事，直到成功
**nickName**,1,山东,济南,
**nickName**,2,,,13817618817
**nickName**,1,湖南,郴州,每天进步一点点，欢乐又开怀。。。。
**nickName**,2,北京,昌平,凡是过去，皆为序章。不忘初心，继续前行。
**nickName**,1,上海,,"Devote youselves to prayer,being watchful and thankful."
**nickName**,2,山西,太原,
**nickName**,1,上海,闵行,生活像水，不会一直的平静下去偶尔出现的波折是生活中的调剂品！
**nickName**,1,上海,松江,吴纯
**nickName**,1,,,跑万里路
**nickName**,2,Victoria,Melbourne,How great is our God！
**nickName**,0,上海,浦东新区,
**nickName**,2,,,
**nickName**,2,上海,徐汇,Kate
**nickName**,1,,,已换新号，此号作废
**nickName**,1,,,乾坤之道
**nickName**,0,,,
**nickName**,2,上海,,开学了
**nickName**,1,上海,浦东新区,
**nickName**,2,湖南,长沙,
**nickName**,2,上海,,温暖纯良 不舍爱与自由
**nickName**,1,湖南,郴州,不再因为你们而改变，我要活得开心自在！
**nickName**,1,甘肃,庆阳,不念过往，不畏将来
**nickName**,1,上海,杨浦,
**nickName**,1,湖南,郴州,人的潜力是被逼出来的。先天不足后天补。
**nickName**,1,湖南,衡阳,稳稳的幸福
**nickName**,0,,,一儿一女，幸福的一家四口
**nickName**,2,湖南,邵阳,愿你贪吃不胖，懒惰不丑，有诗，有梦，有坦荡荡的远方。
**nickName**,2,上海,浦东新区,@有风一样的感觉……
**nickName**,1,上海,浦东新区,Walk by faith
**nickName**,2,上海,,
**nickName**,2,湖北,黄冈,活出自我。
**nickName**,1,福建,福州,
**nickName**,2,上海,闵行,开心快乐每一天
**nickName**,1,湖南,郴州,招聘，本家电维修部招维修师傳.学徒工多名，联系电话13467862201
**nickName**,2,浙江,杭州,此号人已满
**nickName**,0,,,
**nickName**,1,广东,中山,13556159485
**nickName**,2,上海,杨浦,
**nickName**,1,湖北,武汉,你对待当下生活的态度，决定了你人生的高度。
**nickName**,1,上海,浦东新区,敬虔加上知足的心便是大力了
**nickName**,1,上海,虹口,根基若毁坏，义人还能做什么呢？” (诗篇 11:3 和合本)
**nickName**,0,,,
**nickName**,2,广东,广州,"我接受自己的不完美，同时我可以每天变得更好<span class=""emoji emoji1f339""></span><span class=""emoji emoji1f339""></span>"
**nickName**,2,Victoria,Melbourne,
**nickName**,1,上海,,fear is a disease
**nickName**,1,广东,佛山,"Just be yourself and keep on moving ahead,that’s real life"
**nickName**,0,,,
**nickName**,0,上海,浦东新区,我如今在肉身活着，是因信神的儿子而活，他是爱我，为我舍己。
**nickName**,1,湖南,湘潭,
**nickName**,1,广东,东莞,
**nickName**,1,广东,广州,心意更新而变化
**nickName**,1,,,完全信靠顺服主Jesus Christ为祂得人
**nickName**,1,上海,,
**nickName**,1,广东,广州,厚德精术
**nickName**,0,,,
**nickName**,2,,,一只猫子=￣ω￣=喵！
**nickName**,2,Alberta,Edmonton,"<span class=""emoji emoji1f64f""></span>"
**nickName**,2,上海,浦东新区,愿所有美善的力量都默默围绕你
**nickName**,2,山西,太原,
**nickName**,2,北京,昌平,"主造我们乃是让我们被爱<span class=""emoji emoji1f60a""></span>"
**nickName**,0,,,
**nickName**,0,,,
**nickName**,1,江苏,苏州,
**nickName**,1,,,博学之 审问之 慎思之 明辨之 笃行之
**nickName**,2,,,李诚
**nickName**,1,广东,广州,慎言敏行
**nickName**,0,浙江,温州,
**nickName**,1,山西,长治,
**nickName**,1,上海,,生有涯，知无涯，行万里路，读万卷书
**nickName**,1,湖北,黄冈,
**nickName**,2,上海,虹口,人对我说：“我们往耶和华的殿去。”我就欢喜。（诗122:1）
**nickName**,1,上海,卢湾,"I will not boast in anything. No gift, no powers, no wisdom."
**nickName**,2,上海,,夏天到了，肉要藏不住了
**nickName**,1,上海,静安,
**nickName**,1,上海,浦东新区,真理的能力胜过世界任何力量！
**nickName**,1,,,
**nickName**,1,上海,,苦难是一份化妆的祝福
**nickName**,1,上海,宝山,放弃不难 坚持一定很酷
**nickName**,0,,,
**nickName**,1,上海,,
**nickName**,1,广东,广州,听从你心，无问西东
**nickName**,1,广东,广州,活出自我，为自己奔跑……
**nickName**,2,浙江,杭州,努力成为更好的人，因为你
**nickName**,1,上海,松江,我们不一样
**nickName**,1,湖南,郴州,升华
**nickName**,2,上海,卢湾,
**nickName**,1,浙江,杭州,
**nickName**,1,,,
**nickName**,2,上海,浦东新区,你们显在这世代中，好像明光照耀。
**nickName**,1,天津,西青,
**nickName**,1,湖南,长沙,
**nickName**,2,江西,赣州,祂是爱我，为我舍己
**nickName**,2,湖南,郴州,我和我家必定侍奉耶和华
**nickName**,1,,,4.7 &amp; 5.2
**nickName**,1,湖南,长沙,
**nickName**,2,云南,大理,春风柳上来，离人心上秋。
**nickName**,2,安徽,合肥,
**nickName**,1,安徽,芜湖,生命之道！
**nickName**,1,上海,浦东新区,平凡之路
**nickName**,0,,,
**nickName**,2,上海,浦东新区,Train myself in godliness.
**nickName**,2,湖南,湘潭,用心爱人，用心工作
**nickName**,1,Toronto,,陌上人如玉，公子世无双
**nickName**,1,湖北,黄冈,15972827111
**nickName**,1,,,我不段的提醒自己：我的心啦，你要仰望耶和华，唯独信靠他。
**nickName**,2,上海,浦东新区,上帝所爱的小鱼
**nickName**,2,湖北,黄冈,18971707180
**nickName**,2,上海,浦东新区,שירי
**nickName**,2,,,
**nickName**,1,上海,嘉定,up
**nickName**,2,上海,浦东新区,
**nickName**,2,上海,长宁,
**nickName**,0,,,
**nickName**,0,,,
**nickName**,2,North,,Trust in the Lord with all my heart!
**nickName**,1,上海,杨浦,博学而笃志，切问而近思
**nickName**,1,上海,,你好
**nickName**,1,浙江,杭州, 
**nickName**,1,山西,忻州,去想那些好的方便面，而不是可能出问题的方便面。
**nickName**,2,湖北,黄冈,
**nickName**,0,,,
**nickName**,1,上海,浦东新区,说个屁的说！
**nickName**,1,,,不乱于心，不困于情。不畏将来，不念过去。如此，安好。
**nickName**,2,上海,浦东新区,你是葡萄树
**nickName**,1,,,
**nickName**,2,湖南,郴州,家和万事兴
**nickName**,1,Ontario,Waterloo,公事请用: tanz@uwaterloo.ca | 2269298021
**nickName**,2,上海,浦东新区,耶和华是我的牧者，我必不至缺乏。(诗23:1)
**nickName**,2,上海,浦东新区,行公义，好怜悯，存谦卑的心与我的神同行。（弥迦书6:8）
**nickName**,1,上海,长宁,唯有爱能治愈孤独
**nickName**,1,上海,徐汇,献祭头发 获得offer
**nickName**,2,香港,中西区,Because we accept the love we think we deserve.
**nickName**,1,北京,海淀,"Stay hungry, stay foolish！"
**nickName**,1,上海,,我们要结出果子来，与悔改的心相称。
**nickName**,1,,,
**nickName**,1,北京,海淀,
**nickName**,1,湖南,郴州,向往美好的明天～
**nickName**,1,辽宁,本溪,减肥！减肥！减肥！！
**nickName**,0,上海,,
**nickName**,1,山东,济宁,"Don’t work hard, work smart."
**nickName**,2,山西,临汾,我心平稳安静
**nickName**,1,广东,深圳,商业策划！
**nickName**,2,云南,,"<span class=""emoji emoji1f42c""></span>"
**nickName**,2,,,终日乾乾，反复道也。或跃在渊，进无咎也。
**nickName**,1,,,我虽然行过死荫的幽谷，也不怕遭害，因为你与我同在 (诗篇23)
**nickName**,0,,,
**nickName**,1,湖南,郴州,我要我要求…5968加后二两
**nickName**,2,浙江,嘉兴,要开心每一天
**nickName**,2,广西,桂林,Enjoy the amazing grace
**nickName**,2,上海,浦东新区,功不唐捐，玉汝于成。
**nickName**,2,,,"Follow your heart, try your best !"
**nickName**,2,广东,深圳,
**nickName**,1,上海,浦东新区,我身在世为客旅，人生何处不他乡。
**nickName**,1,湖北,武汉,在最愤怒时忍住最伤对方的那句话。
**nickName**,2,山东,烟台,一生一世住在耶和华的殿中，瞻仰他的荣美  诗 27:4 
**nickName**,2,上海,浦东新区,best of you
**nickName**,2,,,说好的永远呢？
**nickName**,1,,,
**nickName**,0,,,加油！
**nickName**,2,湖南,娄底,陪我看世间风景，许我一世欢颜
**nickName**,1,广东,广州,
**nickName**,1,北京,海淀,
**nickName**,1,湖南,湘潭,抓不住彩虹的笨鸟！
**nickName**,2,湖南,郴州,爱拼才会赢
**nickName**,1,上海,长宁,桃月十五，蒲月十一
**nickName**,1,上海,,信心 盼望 爱
**nickName**,1,上海,浦东新区,耶和华是我的牧者，我必不至缺乏
**nickName**,2,,,你要保守你心，胜过保守一切，因为一生的果效是由心发出
**nickName**,2,北京,东城,On the way～
**nickName**,1,,,同心，同行。
**nickName**,2,上海,,依靠上帝 平安喜乐
**nickName**,2,,,
**nickName**,0,,,IN HIS TIME.✟.
**nickName**,1,云南,昆明,
**nickName**,1,广东,广州,
**nickName**,1,上海,浦东新区,耶和华是我的牧者，我必不至缺乏。
**nickName**,1,上海,浦东新区,不懈耕耘
**nickName**,1,湖南,湘潭,
**nickName**,1,,,
**nickName**,2,广东,广州,有缘千里来相会
**nickName**,1,广东,东莞,选择我喜欢的，喜欢我的选择！
**nickName**,1,浙江,杭州,时间让深的东西越深，浅的东西越浅
**nickName**,2,,,那佛光闪闪的高原，三步两步便是天堂……
**nickName**,2,,,行事为人要端正，好像行在白昼。罗马书13:13
**nickName**,1,,,No man knows how bad he is till he has tried hard  tobe good
**nickName**,1,江苏,南京,生而知天命
**nickName**,0,,,
**nickName**,2,上海,闵行,胜于守夜的等候天亮
**nickName**,0,,,
**nickName**,2,Styria,,你美麗如得撒，秀美如耶路撒冷，
**nickName**,2,上海,浦东新区,小时候   幸福是件很简单的事／长大后  简单是件很幸福的事
**nickName**,1,上海,虹口,不忘初心，方得始终！
**nickName**,2,Paris,,私は家族団欒がほしいです。
**nickName**,2,江苏,南京,阳光，沙滩
**nickName**,1,山西,太原,一个人一生若没有一件为之生，为之死的事，那活着还有什么价值？
**nickName**,1,湖南,湘潭,高校科研管理系统，培训考试平台制订开发，可联系13786285377
**nickName**,1,云南,,"神就是爱<span class=""emoji emoji2764""></span>"
**nickName**,2,,,
**nickName**,1,浙江,杭州,
**nickName**,1,,,圣洁很重要！
**nickName**,1,安徽,合肥,哥要成为让众大神心服口服的男人
**nickName**,2,湖北,黄冈,我和我家必定侍奉耶和华
**nickName**,1,上海,浦东新区,要敬重自然…
**nickName**,2,上海,浦东新区,所见的是暂时的，所不见的是永远的。
**nickName**,2,北京,,"你们必晓得真理，真理必叫你们得以自由✝️<span class=""emoji emoji2764""></span>️"
**nickName**,2,,,
**nickName**,1,云南,大理,至于我和我的家，我们必定侍奉耶和华！
**nickName**,1,Kuala Lumpur,Kuala Lumpur,
**nickName**,1,上海,杨浦,
**nickName**,2,黑龙江,哈尔滨,邵国芳
**nickName**,1,浙江,温州,人生在世，不必荣华富贵，平凡清淡便好。
**nickName**,2,上海,,他要像一棵树，栽在溪水旁，按时候结果子，叶子也不枯干
**nickName**,0,江苏,南京,至于我，就像神殿中的青橄榄树，我永永远远依靠神的慈爱。
**nickName**,0,,,
**nickName**,0,,,
**nickName**,1,云南,丽江,我从前风闻有你，现在亲眼看见你。
**nickName**,2,,,"<span class=""emoji emoji1f4aa""></span>"
**nickName**,2,,,吾身在世本客旅，人生何处不他乡。
**nickName**,1,上海,浦东新区,
**nickName**,2,,,你好吗
**nickName**,0,,,
**nickName**,1,北京,海淀,Do your doing
**nickName**,2,上海,,"每一个你讨厌的现在,都有一个不够努力的曾经。"
**nickName**,2,上海,浦东新区,
**nickName**,1,上海,浦东新区,乐观的悲观主义者
**nickName**,1,广东,珠海,
**nickName**,1,,,祂要将自己的百姓从罪恶中拯救出来！
**nickName**,1,Arizona,Chandler,就从今天起 I wish
**nickName**,0,,,
**nickName**,0,,,
**nickName**,2,湖南,郴州,好好的
**nickName**,2,湖南,郴州,咫尺和天涯！
**nickName**,1,上海,浦东新区,"passion, dream, action, just do it"
**nickName**,2,,,Someone died. It happens all the time. 
**nickName**,1,Selangor,Gombak,喜乐的心乃是良药！a happy heart does good like medicine !
**nickName**,2,Kuala Lumpur,Kuala Lumpur,"Micah 3:8 <span class=""emoji emoji1f33f""></span>"
**nickName**,1,上海,浦东新区,
**nickName**,2,四川,成都,简简单单，做一个美好的人
**nickName**,1,上海,,双击编辑好友印象
**nickName**,1,,,个性是一种生活的态度
**nickName**,0,,,使万民做主的门徒
**nickName**,0,,,一粒麦子
**nickName**,1,上海,浦东新区,余虽不敏，唯以诚矣。
**nickName**,1,上海,浦东新区,他要像一棵树栽在溪水旁，按时侯结果子，叶子也不枯干。
**nickName**,2,上海,,我等候耶和华，我的心等候，我也仰望他的话。
**nickName**,0,,,
**nickName**,2,江西,赣州,坚持就是胜利
**nickName**,1,辽宁,本溪,我心尊主为大
**nickName**,2,上海,虹口,我们要有最朴素的生活和最遥远的梦想。
**nickName**,2,湖南,郴州,
**nickName**,1,江苏,南京,
**nickName**,1,上海,普陀,
**nickName**,2,上海,,要像一棵树栽在溪水旁按时候结果子叶子也不枯干
**nickName**,1,湖南,长沙,
**nickName**,1,广西,南宁,本人近期不用微信，有事请电话联系。
**nickName**,1,上海,长宁,目成心许，天雨流芳
**nickName**,1,,,追求，永无止境
**nickName**,1,,,出走半生，归来仍是少年！
**nickName**,1,北京,海淀,欢迎一起保龄、游泳、打牌、跳绳、抓鱼、爬山！
**nickName**,1,上海,松江,
**nickName**,2,,,"Whatever happens, you should just keep going."
**nickName**,1,上海,杨浦,书山有路勤为径，学海无涯苦作舟
**nickName**,1,Clare,,怜悯贫穷的，就是借给耶和华，他的善行，耶和华必偿还。
**nickName**,2,,,从做更好的自己开始
**nickName**,1,湖南,郴州,
**nickName**,1,上海,闸北,丈夫只手把吴钩，意气高于百尺楼
**nickName**,1,上海,宝山,
**nickName**,2,上海,浦东新区,
**nickName**,2,湖南,郴州,
**nickName**,2,辽宁,营口,在你一切所行的事上都要认定他，他必指引你的路。
**nickName**,1,湖北,武汉,神阻挡骄傲的人，赐恩给谦卑的人:)
**nickName**,1,,,不要在乎别人的眼光，尊重本心，开心就好。
**nickName**,2,上海,浦东新区,一生爱祢，敬拜祢。一生属祢，荣耀祢。一生奉献，永不回头。
**nickName**,1,北京,海淀,Just do it！
**nickName**,2,广东,深圳,痛苦常来自比较，而幸福多源于感恩！
**nickName**,0,上海,,
**nickName**,2,湖南,郴州,微整所有项目、美甲、美睫
**nickName**,0,北京,,努力～奋斗～
**nickName**,1,,,Jesus is the way the truth and the life.
**nickName**,1,,,
**nickName**,2,四川,成都,信仰不是一种学问，信仰是一种行为！它只被实践的时候才有意义。
**nickName**,2,上海,虹口,KR&amp;KW
**nickName**,1,安徽,宣城,
**nickName**,2,湖南,湘潭,知足常乐！
**nickName**,1,山西,运城,一位有信仰 爱生活 爱思考 爱旅行的男子𓃴18801615820
**nickName**,2,上海,杨浦,laoma哥们
**nickName**,2,湖南,湘潭,耶稣是我生命中的至宝
**nickName**,2,,,"Love never fails<span class=""emoji emoji1f49e""></span>"
**nickName**,2,上海,徐汇,凡事包容，凡事相信，凡事盼望，凡事忍耐。
**nickName**,2,江西,上饶,好好学习 脚踏实地谋发展
**nickName**,1,,,
**nickName**,0,,,The LORD is my shepherd  耶和华是我的牧者
**nickName**,1,广东,广州,愿择一城终老，愿深爱一人一生.
**nickName**,1,上海,闵行,耶和华是我的牧者，我必不至缺乏！
**nickName**,1,,,神是爱
**nickName**,2,California,San Jose,凡事谦逊、温柔、忍耐，用爱心相互宽容（弗4：2）
**nickName**,1,,,越努力越空旷
**nickName**,1,湖南,岳阳,行百里者半九十
**nickName**,1,Victoria,Melbourne,... Time will see ...
**nickName**,1,湖南,郴州,平心
**nickName**,1,上海,浦东新区,知其雄，守其雌，为天下溪。知其白，守其黑，为天下式
**nickName**,1,,,早知如此绊人心，何如当初莫相识。
**nickName**,2,上海,闵行,常在于险远
**nickName**,2,,,Nothing lasts.
**nickName**,2,江西,赣州,黑暗的夜才能看见最美的星光  人生亦如此
**nickName**,2,上海,浦东新区,喜乐的心是良药
**nickName**,1,上海,浦东新区,在基督里，就是新造的人
**nickName**,1,上海,徐汇,信而順服
**nickName**,2,湖南,郴州,
**nickName**,1,上海,徐汇,
**nickName**,1,上海,浦东新区,回家吧！
**nickName**,2,,,主必兴旺，我必衰微。
**nickName**,2,上海,杨浦,他不争吵，也不喧嚷，人在街上听不见他的声音。
**nickName**,1,上海,浦东新区,
**nickName**,1,广东,深圳,一颗星、一粒尘
**nickName**,1,湖北,黄石,
**nickName**,1,陕西,汉中,读书  运动  思考  实践！Keep moving
**nickName**,2,Illinois,Chicago City,"...faith by itself, if it does not have works, is dead."
**nickName**,1,,,好奇心
**nickName**,1,,,我可不想再错过满天繁星
**nickName**,2,上海,浦东新区,もう行こう　護るものがあるなら…
**nickName**,2,上海,浦东新区,
**nickName**,1,广东,东莞,永往直前
**nickName**,2,上海,浦东新区,你的话语安定在天，直到永远。
**nickName**,1,山西,吕梁,"<span class=""emoji emoji1f604""></span>"
**nickName**,2,,,愿时光能缓 愿故人不散
**nickName**,2,山西,运城,心诚则灵
**nickName**,2,,,"请做闪闪发光的小怪兽，加油<span class=""emoji emoji2728""></span><span class=""emoji emoji1f340""></span><span class=""emoji emoji1f337""></span>"
**nickName**,1,,,
**nickName**,1,上海,浦东新区,遵行上帝的旨意才是最重要的
**nickName**,1,Central and Western,,沧海一栗，如管窥，海纳之，顿感之矣！
**nickName**,2,,,所谓的幸福，从来都是水到渠成。
**nickName**,1,,,最近状态不好，闭关休整ing
**nickName**,2,New York,New York,世间万物皆苦，你明目张胆的偏爱就是救赎。 ​ ​​​
**nickName**,2,湖南,湘潭,你的眼睛若明亮，全身就光明。
**nickName**,2,Buenos Aires,,心若自由，便是天堂. 、、、-_- 
**nickName**,1,浙江,金华,荣耀上帝，以他为乐。。
**nickName**,2,,,做最好的自己！
**nickName**,2,湖南,长沙,
**nickName**,1,广东,深圳,有缘才会相聚，有心才会珍惜！
**nickName**,2,,,当你的才华还撑不起你的梦想时，请你静下心来学习
**nickName**,1,陕西,咸阳,人在最小的事上忠心，在大事上也忠心；
**nickName**,1,湖南,湘潭,吾为流萤，心向皓月
**nickName**,2,上海,虹口,"Love covers a multitude of sins <span class=""emoji emoji2728""></span>"
**nickName**,2,湖南,长沙,星河滚烫 你是人间理想
**nickName**,2,浙江,嘉兴,pp
**nickName**,2,,,Gospel is the foundation of growing up.
**nickName**,2,,,amazing grace
**nickName**,1,山东,青岛,带着好奇心，丈量世界
**nickName**,1,上海,长宁,
**nickName**,1,山西,运城,
**nickName**,2,湖北,武汉,
**nickName**,0,,,简简单单
**nickName**,1,江苏,苏州,徐靈胎閱盡五千卷，葉天士學經十七師
**nickName**,1,上海,浦东新区,选择比努力更重要
**nickName**,1,湖南,湘潭,
**nickName**,2,湖南,长沙,你若想得到这世界最好的东西，先得让世界看到最好的你。
**nickName**,0,,,"<span class=""emoji emoji1f478""></span><span class=""emoji emoji1f3b5""></span><span class=""emoji emoji1f3bc""></span><span class=""emoji emoji1f3bc""></span>♬♩♫♪☻(●´∀｀●）♪♫♩♬｡◕‿◕｡<span class=""emoji emoji1f64f""></span>"
**nickName**,1,湖南,郴州,邓小姐
**nickName**,1,湖南,郴州,邓小姐
**nickName**,2,湖南,郴州,
**nickName**,2,,,༒ 春未老，诗酒趁年华。
**nickName**,0,上海,,耶和华是我的牧者
**nickName**,2,上海,浦东新区,快落的freshman
**nickName**,1,安徽,合肥,
**nickName**,1,Queensland,Brisbane,汪涵
**nickName**,1,浙江,杭州,我也想有个个性签名
**nickName**,1,安徽,合肥,
**nickName**,1,湖南,郴州,
**nickName**,2,上海,浦东新区,
**nickName**,1,上海,杨浦,读史 骑行
**nickName**,1,江西,吉安,
**nickName**,2,,,我不看月亮也不说想你，这样月亮和你都被蒙在鼓里
**nickName**,1,天津,滨海新区,
**nickName**,2,上海,浦东新区,Forbearance
**nickName**,2,湖南,湘潭,
**nickName**,2,Dubai,,始于v8....
**nickName**,1,,,没个性没签名
**nickName**,1,,,hair center
**nickName**,1,,,
**nickName**,2,上海,黄浦,Life is too short to be little.
**nickName**,1,上海,,"you hem me in behind and before, you lay your hand upon me"
**nickName**,2,湖南,长沙,快乐可共享，苦难靠自扛！
**nickName**,1,,,甘奴你想后代永为娼奴？请多买清.黑白噬.除非上天管.否则迟早是.
**nickName**,2,上海,浦东新区,因为爱所以爱
**nickName**,1,,,平时不一定经常看微信。有急事请打电话！以马内利！
**nickName**,0,上海,浦东新区,
**nickName**,2,江西,赣州,酸枣糕新鲜扒拉滚出炉了！全部是原味酸枣糕！13576709363
**nickName**,0,,,《耶利米书10:10节上》惟耶和华是真神，是活神，是永远的王
**nickName**,2,上海,杨浦,"优雅是一种阅历的凝聚，淡然是一段人生的沉淀。<span class=""emoji emoji1f34f""></span>"
**nickName**,1,湖南,长沙,生生不息
**nickName**,1,,,活好每一天
**nickName**,1,,,灵巧像蛇，驯良像鸽子。
**nickName**,0,,,人不制伏自己的心，好像毁坏的城邑没有墙垣。
**nickName**,1,湖南,湘潭,
**nickName**,2,,,
**nickName**,1,广东,广州,净心素雅。
**nickName**,2,,,
**nickName**,2,,,a clean heart
**nickName**,0,,,。。。。。。
**nickName**,1,浙江,宁波,
**nickName**,2,上海,浦东新区,
**nickName**,2,湖南,湘潭,那些疼痛，让我学会了成长！
**nickName**,2,湖南,湘潭,为收入而干，为荣耀而战！共谋发展，同铸辉煌！
**nickName**,1,新疆,阿克苏,
**nickName**,0,,,有急事打我电话：13122372821
**nickName**,1,北京,海淀,主必不永远丢弃人
